Auto Name,Markenname,Geschwindigkeit,Beschleunigung,Preis,Alter,Spritverbrauch
Volkswagen Model C,Volkswagen,148,2.18,50965,3,13.12
Honda Model A,Honda,102,5.44,68866,13,12.25
Honda Model D,Honda,207,7.32,65411,14,14.4
Toyota Model E,Toyota,139,2.35,39545,4,12.3
Volkswagen Model E,Volkswagen,164,8.41,42142,16,6.37
Honda Model A,Honda,187,6.77,55765,7,11.64
BMW Model D,BMW,124,5.0,31954,7,9.95
Ford Model A,Ford,250,2.63,52025,13,13.4
Honda Model D,Honda,169,2.55,34362,12,14.02
Toyota Model A,Toyota,121,2.62,27907,2,12.48
Mercedes Model B,Mercedes,241,8.99,51324,11,6.44
Toyota Model C,Toyota,243,6.55,73588,11,12.87
Ford Model A,Ford,115,6.3,53596,6,10.05
Ford Model B,Ford,157,8.76,54804,14,6.53
Volkswagen Model D,Volkswagen,152,3.4,43216,4,9.05
Toyota Model C,Toyota,186,3.48,31563,2,11.83
Nissan Model B,Nissan,108,5.68,60961,3,5.88
Volkswagen Model D,Volkswagen,149,9.9,59964,2,8.26
Volkswagen Model E,Volkswagen,193,7.16,70373,3,14.4
Nissan Model A,Nissan,155,2.7,64023,6,13.3
Honda Model A,Honda,163,4.5,42878,10,12.14
Honda Model D,Honda,119,8.67,39679,0,11.85
Ford Model B,Ford,228,4.52,58953,20,10.92
Nissan Model B,Nissan,163,8.12,60234,1,11.95
Volkswagen Model E,Volkswagen,187,5.88,28561,13,6.43
BMW Model C,BMW,173,8.8,35574,0,5.17
Ford Model E,Ford,161,4.24,46834,9,5.75
BMW Model D,BMW,194,6.85,54682,11,6.43
Mercedes Model B,Mercedes,178,6.37,55178,18,8.45
Ford Model C,Ford,165,2.82,47389,10,13.91
Volkswagen Model C,Volkswagen,248,8.6,29469,3,5.52
Honda Model E,Honda,238,7.81,31477,3,5.09
Toyota Model A,Toyota,188,2.13,72301,16,12.31
Nissan Model A,Nissan,228,2.81,29612,9,14.05
Mercedes Model A,Mercedes,178,9.86,72301,16,6.98
Toyota Model C,Toyota,189,2.87,40472,11,5.16
Mercedes Model C,Mercedes,124,8.35,28922,12,6.12
Honda Model A,Honda,130,5.79,67831,1,8.17
Toyota Model E,Toyota,182,8.04,66196,5,5.34
Nissan Model C,Nissan,145,6.74,61005,16,9.97
Nissan Model E,Nissan,105,8.31,47498,7,10.35
Toyota Model E,Toyota,192,5.99,76202,11,7.96
Volkswagen Model E,Volkswagen,173,8.07,39367,8,7.89
BMW Model D,BMW,120,2.63,66628,15,13.49
Toyota Model C,Toyota,125,9.41,79191,17,11.85
Volkswagen Model A,Volkswagen,108,6.97,57117,2,9.41
Volkswagen Model D,Volkswagen,178,7.12,67793,4,6.5
Volkswagen Model A,Volkswagen,172,2.83,30264,4,8.37
Nissan Model B,Nissan,189,3.68,71308,13,7.62
Ford Model E,Ford,108,9.93,54488,14,8.09
BMW Model D,BMW,103,9.1,67016,19,6.16
BMW Model A,BMW,116,9.96,31348,15,6.02
Mercedes Model C,Mercedes,101,9.02,37647,18,9.52
Honda Model D,Honda,236,8.11,29382,17,14.49
Toyota Model A,Toyota,250,6.28,34563,16,7.75
Volkswagen Model D,Volkswagen,140,7.49,65295,16,14.54
Honda Model E,Honda,235,5.04,76402,13,10.33
Honda Model E,Honda,181,3.08,41040,8,5.73
Toyota Model E,Toyota,211,4.88,79866,0,5.89
Mercedes Model D,Mercedes,129,2.18,35853,10,13.89
Mercedes Model C,Mercedes,119,3.57,56524,4,8.45
Honda Model D,Honda,101,4.18,49268,11,9.61
Nissan Model B,Nissan,153,3.49,56912,14,12.64
Ford Model C,Ford,225,2.72,58907,20,13.99
Nissan Model B,Nissan,145,5.25,36652,15,12.96
Honda Model E,Honda,134,5.49,44121,19,13.44
Toyota Model A,Toyota,219,4.99,30986,14,11.05
BMW Model A,BMW,110,4.39,29565,15,13.81
Honda Model A,Honda,162,7.82,59980,8,11.37
Ford Model C,Ford,218,4.81,67867,3,11.8
Honda Model E,Honda,141,7.78,69082,4,7.4
Mercedes Model E,Mercedes,165,3.55,55033,13,10.07
Honda Model B,Honda,116,6.31,21588,8,12.38
Ford Model A,Ford,222,7.08,70047,19,13.18
Volkswagen Model A,Volkswagen,146,5.11,46154,17,7.98
Volkswagen Model E,Volkswagen,127,6.55,52455,18,11.48
Honda Model A,Honda,226,5.87,66329,7,11.57
BMW Model D,BMW,188,9.95,34091,4,14.63
Mercedes Model C,Mercedes,200,8.16,44960,16,14.28
Honda Model E,Honda,127,6.27,29454,15,13.93
Honda Model C,Honda,146,9.77,79849,3,5.97
Volkswagen Model E,Volkswagen,245,6.71,22988,7,10.33
Nissan Model B,Nissan,189,3.08,56539,5,7.48
BMW Model E,BMW,244,7.33,47235,8,14.61
Toyota Model D,Toyota,223,9.97,33126,0,14.57
Honda Model B,Honda,110,3.72,26067,20,13.61
Honda Model A,Honda,153,8.6,23196,16,7.62
Ford Model A,Ford,138,5.29,38829,16,13.21
Mercedes Model B,Mercedes,108,8.65,43704,7,9.16
Nissan Model B,Nissan,209,2.36,49442,6,8.42
Mercedes Model B,Mercedes,243,5.73,72685,13,9.14
Mercedes Model A,Mercedes,156,6.87,58865,12,6.95
Ford Model E,Ford,158,8.64,65169,17,14.28
Volkswagen Model E,Volkswagen,153,6.21,56934,1,6.58
BMW Model D,BMW,174,9.75,25924,18,7.69
Honda Model A,Honda,207,5.51,63527,12,9.25
Mercedes Model B,Mercedes,216,4.09,34042,16,12.14
Nissan Model C,Nissan,144,6.1,29853,13,13.67
Nissan Model B,Nissan,217,2.71,72162,17,8.37
Ford Model B,Ford,132,4.69,23806,19,11.36
Volkswagen Model B,Volkswagen,154,4.95,79924,16,6.81
Mercedes Model E,Mercedes,169,4.02,64616,2,10.45
Volkswagen Model C,Volkswagen,182,7.78,74293,12,9.91
Honda Model A,Honda,148,7.6,72558,6,12.64
Nissan Model A,Nissan,233,9.12,36411,18,11.29
Toyota Model B,Toyota,247,9.92,56631,15,8.0
Ford Model A,Ford,183,4.33,27373,2,8.45
Nissan Model B,Nissan,240,2.98,42970,18,11.34
Nissan Model C,Nissan,167,5.34,67267,19,6.81
Volkswagen Model D,Volkswagen,197,10.0,50579,6,8.19
Honda Model E,Honda,174,6.88,38482,5,12.58
Mercedes Model C,Mercedes,167,2.26,69611,6,9.91
Mercedes Model C,Mercedes,161,9.34,78475,0,12.38
Ford Model A,Ford,102,6.81,69961,16,10.56
Ford Model A,Ford,244,7.44,65425,20,10.21
BMW Model B,BMW,202,9.23,44531,16,5.47
Mercedes Model A,Mercedes,110,3.67,45362,14,8.95
Volkswagen Model E,Volkswagen,161,2.2,22774,4,7.24
Volkswagen Model A,Volkswagen,196,2.86,54270,14,7.1
Volkswagen Model B,Volkswagen,138,5.53,36533,20,7.2
Toyota Model E,Toyota,249,6.0,67380,8,5.38
Toyota Model D,Toyota,226,7.16,45234,8,8.39
Ford Model E,Ford,105,5.37,37949,16,13.53
Nissan Model D,Nissan,146,4.09,59179,19,11.85
Toyota Model C,Toyota,225,5.51,77769,12,10.96
Toyota Model C,Toyota,182,9.72,57095,11,12.95
Mercedes Model A,Mercedes,117,2.02,56137,10,5.83
Toyota Model C,Toyota,181,7.45,29672,10,13.07
Toyota Model C,Toyota,222,6.71,58660,11,8.88
BMW Model E,BMW,223,3.95,51524,8,14.23
Ford Model A,Ford,231,3.31,44917,1,11.4
Honda Model C,Honda,157,4.03,70973,10,5.6
Honda Model B,Honda,118,4.75,36284,14,6.82
Volkswagen Model B,Volkswagen,126,8.74,63089,20,11.45
Toyota Model A,Toyota,149,3.69,32961,16,9.99
Ford Model D,Ford,149,7.61,55167,13,7.55
Volkswagen Model A,Volkswagen,239,5.61,64364,7,7.49
Nissan Model E,Nissan,108,8.39,48767,14,13.27
BMW Model B,BMW,139,9.9,51761,6,13.75
Nissan Model B,Nissan,190,5.26,66630,14,10.21
Toyota Model D,Toyota,231,8.3,67274,0,9.3
Ford Model D,Ford,107,3.65,38047,10,11.99
Nissan Model E,Nissan,164,5.21,23789,19,11.51
Toyota Model E,Toyota,150,9.79,55171,10,10.01
Honda Model B,Honda,239,6.89,62213,10,12.75
Ford Model A,Ford,224,8.48,72556,17,11.93
Volkswagen Model E,Volkswagen,137,6.37,55602,15,10.26
BMW Model A,BMW,101,8.62,47100,5,6.61
Mercedes Model D,Mercedes,241,7.67,49149,2,5.96
Toyota Model A,Toyota,230,4.01,43134,10,13.41
Mercedes Model C,Mercedes,143,7.59,23936,19,9.02
Ford Model A,Ford,193,2.6,25507,4,11.58
Toyota Model C,Toyota,203,7.87,36417,16,11.03
Ford Model B,Ford,119,3.62,70568,20,11.27
Ford Model A,Ford,188,3.23,40667,7,8.79
Nissan Model D,Nissan,156,5.17,54619,5,6.72
Ford Model B,Ford,191,3.71,20545,11,11.08
Honda Model B,Honda,218,3.86,49411,19,5.45
Volkswagen Model B,Volkswagen,121,8.54,68006,3,13.71
Toyota Model B,Toyota,130,6.22,65179,6,13.74
Honda Model B,Honda,143,9.38,31033,5,8.86
Mercedes Model A,Mercedes,110,4.16,33642,17,7.93
Ford Model D,Ford,116,5.99,36514,6,11.19
Honda Model B,Honda,128,5.44,49287,14,11.12
Volkswagen Model D,Volkswagen,149,4.07,70926,4,9.3
Ford Model E,Ford,200,4.1,37477,4,7.15
BMW Model E,BMW,119,9.76,72865,20,13.07
Volkswagen Model C,Volkswagen,241,8.72,65113,0,10.54
Honda Model D,Honda,192,3.9,77186,19,12.6
Ford Model C,Ford,204,6.65,49904,17,12.06
Mercedes Model B,Mercedes,238,5.61,67458,5,12.28
Mercedes Model D,Mercedes,125,6.21,64698,2,7.82
Honda Model E,Honda,203,8.84,33148,14,8.76
Toyota Model D,Toyota,247,2.34,64266,1,11.08
Volkswagen Model E,Volkswagen,100,9.64,60176,17,12.55
Ford Model E,Ford,161,7.3,43264,6,14.28
Mercedes Model A,Mercedes,188,2.29,23029,4,14.85
Ford Model B,Ford,190,6.9,52898,2,13.26
BMW Model C,BMW,113,3.58,37219,9,10.85
BMW Model A,BMW,172,9.2,62366,15,6.33
Honda Model B,Honda,207,3.55,56420,3,12.01
Nissan Model C,Nissan,127,3.29,41105,2,8.49
BMW Model B,BMW,159,6.28,70517,17,6.51
Toyota Model C,Toyota,236,8.66,65177,20,6.91
Nissan Model D,Nissan,216,8.34,48180,14,11.18
Mercedes Model A,Mercedes,140,5.8,45206,9,13.4
Volkswagen Model C,Volkswagen,250,5.37,55927,18,10.07
Toyota Model E,Toyota,104,8.64,20935,10,6.16
Mercedes Model D,Mercedes,187,4.04,59129,16,9.16
Ford Model E,Ford,238,2.2,31443,11,6.61
BMW Model A,BMW,236,2.99,48547,9,9.04
Volkswagen Model C,Volkswagen,105,8.57,44747,16,13.47
Mercedes Model C,Mercedes,152,6.9,25145,16,10.71
Volkswagen Model E,Volkswagen,191,2.28,68533,8,12.32
Ford Model A,Ford,164,4.36,56872,2,9.04
Honda Model A,Honda,184,3.22,77273,11,8.1
Mercedes Model A,Mercedes,141,5.29,23435,8,14.95
Toyota Model B,Toyota,143,6.24,64224,12,9.44
Honda Model B,Honda,166,7.88,28919,8,9.67
Toyota Model E,Toyota,193,9.24,34206,10,13.42
BMW Model B,BMW,244,6.85,60815,10,10.18
Ford Model E,Ford,133,8.91,32470,0,9.17
Honda Model D,Honda,122,8.45,43864,11,12.42
Volkswagen Model E,Volkswagen,159,7.41,22261,12,6.99
Honda Model A,Honda,115,8.73,63648,7,7.54
Nissan Model C,Nissan,113,2.31,40174,20,14.51
Mercedes Model C,Mercedes,206,3.49,30811,13,7.66
Mercedes Model C,Mercedes,211,4.54,46777,6,13.43
BMW Model D,BMW,145,9.24,23032,18,14.23
Volkswagen Model E,Volkswagen,107,2.73,75238,15,7.7
Ford Model D,Ford,140,7.74,63557,3,13.72
BMW Model B,BMW,127,3.84,47524,4,12.63
Mercedes Model A,Mercedes,169,2.71,63098,17,12.7
Ford Model D,Ford,119,7.95,59788,6,14.56
Volkswagen Model D,Volkswagen,169,6.82,47704,3,12.21
Volkswagen Model C,Volkswagen,104,6.5,65574,13,7.71
BMW Model B,BMW,241,7.09,32287,3,8.6
Toyota Model D,Toyota,214,8.4,25961,20,11.36
BMW Model B,BMW,150,9.12,52891,17,13.36
BMW Model B,BMW,186,8.35,52685,3,5.8
Mercedes Model D,Mercedes,234,3.54,70437,9,7.29
Mercedes Model D,Mercedes,203,5.19,23128,4,10.91
Ford Model D,Ford,176,7.67,45252,14,14.75
Nissan Model B,Nissan,163,2.95,34489,11,13.78
Mercedes Model C,Mercedes,226,7.99,33791,8,7.77
Honda Model B,Honda,152,8.47,54120,13,10.76
Toyota Model E,Toyota,136,4.92,21631,5,12.83
BMW Model E,BMW,173,9.42,71199,3,14.97
Mercedes Model D,Mercedes,244,5.0,52114,5,10.11
Mercedes Model E,Mercedes,145,6.85,53010,3,6.04
Toyota Model C,Toyota,158,2.66,65521,0,5.76
Toyota Model C,Toyota,168,8.7,43801,11,13.57
Mercedes Model E,Mercedes,105,6.4,52928,16,8.92
Volkswagen Model A,Volkswagen,217,4.71,42012,4,8.24
Ford Model D,Ford,136,2.86,54113,20,6.94
Ford Model D,Ford,136,2.25,26373,2,9.26
Ford Model E,Ford,180,2.17,66335,0,11.0
Nissan Model B,Nissan,124,7.47,63245,1,5.43
Toyota Model D,Toyota,244,5.89,59213,15,12.72
Mercedes Model C,Mercedes,138,4.96,48238,17,11.37
BMW Model B,BMW,214,7.26,79437,13,9.73
Mercedes Model C,Mercedes,250,4.49,37588,3,10.39
Ford Model B,Ford,129,6.24,33599,1,7.19
Mercedes Model A,Mercedes,204,5.54,35631,9,8.92
Honda Model D,Honda,206,6.36,57491,6,9.93
Ford Model D,Ford,150,3.0,20944,1,6.25
Toyota Model E,Toyota,159,9.08,49657,6,5.25
BMW Model A,BMW,133,7.48,22308,5,13.4
Volkswagen Model D,Volkswagen,184,2.62,46134,12,13.53
BMW Model A,BMW,136,7.72,39648,5,6.29
Ford Model D,Ford,101,3.29,31263,5,8.64
Nissan Model A,Nissan,163,7.87,21498,9,13.43
Toyota Model B,Toyota,145,6.9,20266,12,9.31
Honda Model A,Honda,219,7.49,70304,1,9.08
Ford Model E,Ford,104,4.3,46556,4,13.12
Honda Model D,Honda,157,6.87,38583,17,12.34
Toyota Model D,Toyota,106,8.38,55006,0,13.74
Honda Model E,Honda,246,8.86,75905,18,14.64
